Epoch,Train Loss,Test Loss,Train Dice Coefficient,Test Dice Coefficient
1,0.6442952676932443,0.41045993545021003,0.0007241752540756639,3.747324228658112e-05
2,0.2094819289578441,0.10930643838543731,2.8696407370722548e-05,0.0
3,0.08248503276575019,0.055938131297723605,0.0,0.0
4,0.03911269323737706,0.028173765774744633,0.0,0.0
5,0.021146173186560317,0.015069416641311433,6.223824925118715e-07,0.0
6,0.01255681113009318,0.009643599902315496,2.7048204742278445e-05,0.0
7,0.00785850748497244,0.005978298458369234,0.0006113442443207647,0.00024241923159021834
8,0.005113304357536911,0.004278612878764621,0.020520943978518037,0.06054066642308371
9,0.0034099157367502315,0.0030271817381547477,0.29750686757810135,0.5188995639000431
10,0.002347583141106164,0.0020233370874148723,0.520089197871888,0.584016009639324
11,0.0016423430221350526,0.0013198460064953767,0.5502621577338482,0.5403615568687337
12,0.0011600386283981432,0.0010556140762323944,0.5768429702660463,0.6192326571443638
13,0.000829381678516929,0.0007131035148072092,0.5957431387773732,0.6004322558625543
14,0.0006023233763459219,0.0005005158636637273,0.6061700038533167,0.6118412997008853
15,0.00044614115031915556,0.0003735791276015404,0.6156696144915111,0.6024526706698786
16,0.0003265754891171782,0.0003060370518421853,0.6274189056988155,0.6693557367287927
17,0.0002422813519994081,0.00022172715511120398,0.6421999729439418,0.6541307168544985
18,0.000183777006961907,0.00018867697644264598,0.6502431342163902,0.6322908208779686
19,0.00018039543016516328,0.00013695500488560916,0.5841372742912728,0.6519130763886524
20,0.00010852639186182604,9.942893385903937e-05,0.6437568880633049,0.6606419006058143
21,8.394636820614691e-05,7.426956832869808e-05,0.6541673459849846,0.6653255883657987
22,6.58227695514451e-05,5.873934685671254e-05,0.659976909334232,0.6796296669060671
23,5.1521723832205054e-05,4.6446394465140025e-05,0.670456872608298,0.6513311018468891
24,3.9693380275052605e-05,4.246288716820765e-05,0.6671874852087043,0.6971060140883186
25,3.18568878485063e-05,3.4730204380978715e-05,0.6789921863113525,0.650066473466657
